product_code,product_name,brand
6111246951026,yaourt,Jibal
4056489528012,coconut milk light,"Freshona, Lidl, Lidl Freshona"
497121,prosciutto by sainsburys,Sainsburys
6111242107991,croissance,Brand_Unavailable
343473,taste the difference luxury sourdough crumpets,"Taste the difference, Sainsbury's"
8715700112930,mayonnaise,Kraft
5000354924729,fine egg noodles,Sharwood's
6111035502743,bahia,Brand_Unavailable
664400948258,unknown,Brand_Unavailable
4056489918202,tortilla wraps,Snack Day
5010003067684,seed sensations malted wholegrains,Hovis
3518646128103,unknown,Gilbert
4056489920052,liegeois saveur chocolat,Milbona
4088600551975,multigrain crackers,Savour Bakes
6111270030230,pipabuela,Brand_Unavailable
5012121009003,sliced foccacia,Deli Kitchen
6111270960179,Unknown Product,Nooco
4061459179002,halloumi,Emporium
5065009224302,seeded bread,wildfarmed
4056489825579,muesli,Lidl
5034467002029,original seitan,The Tofoo Co
4056489989363,hafermilch barista,Vemondo
6214090005003,unknown,Brand_Unavailable
3337875597227,unknown,Brand_Unavailable
5900951311468,mars,Mars
8690506520816,unknown,Brand_Unavailable
6111035503139,vitalya 50cl,Brand_Unavailable
6223012615305,byluck,byluk
3228857000845,american sandwich nature,Harrys
3270160717668,pizza 4  saisons,Picard
3021762383313,confipote confiture allge en sucres pot abricot 350g,Confipote
3480341000872,carr frais bio,"Elle & Vire, Savencia"
3056440083995,minizza tomate herbes de provence,Belin
3017760021524,goters rem parfum chocolat,REM
3255290250285,madeleines longues  perles de sucre,"Le Ster, le pâtissier"
3660140846455,brossard  brownie familial pepites de chocolat 285gr,Brossard
3024720022439,rillettes du mans sans graisse ajoute,"Bordeau Chesnel, Savencia"
3245413922465,Unknown Product,Carrefour
5449000232274,fuze tea,FUZE TEA
3451790012358,elle  vire creme fleurette entiere 31mg brique 33cl,"Elle & vire, Savencia"
3045320076127,compote de pommes morceaux,Andros
3155251207719,actif vgtal sans huile de palme,Primevère
3387390406849,chocapic  strong in chocolat ,"Nestlé, Chocapic"
3176582040103,le bon brie,"CF&R, Coeur de lion, Savencia"
7622210602015,granola loriginal,Lu
3256220259576,chocolat noir dgustation 85 de cacao tablette de 100g,U
20398972,gebraden ham  jambon rti,Dulano Selection
3083681066838,pure dlice  haricots verts courgettes pinards pois crme  4 saveurs,Bonduelle
3068110703249,farine de bl bio,Francine
3045320008920,confiture chtaigne,Bonne Maman
3451790828751,le beurre lidl 82 mg doux,Elle & Vire
3254474018635,coeurs de palmiers,Géant Vert
3560071193423,sabls normands,"Carrefour, Reflets de France"
3307907100084,loriginal,"Fromagerie Guilloteau, Pavé d'Affinois"
3073780969000,kiri goter 8 portions format famiial,"Bel,Kiri,Kiri gouter"
3256220211291,petit beurre 200g,U
3279231182008,yaourt brass crme de marrons 2 x 160 g,La fermière
3116740033875,250g bubblizz lutti,Lutti
7613035937550,herta knacki veggie saucisses vgtales x4 140g,"Herta, Knacki"
3599741003311,btonnets colin dalaska msc,Findus
3307130801154,haricots verts extrafins coups,"Jardin bio, LEA Nature"
4016241030603,skyr,ARLA
3175681134997,moelleux tout chocolat sans sucres,Gerblé
7613034678515,bouillon dgraiss,"Kub or, Maggi"
94001129,kiwi sungold,"ALDI Zespri, Catania, Sungold, Zespri"
3760049790672,4 baguettes viennoises compltes sans sucres ajouts 340g,La Boulangère
3560070382828,vritables knacks dalsace,"Carrefour, Reflets de FranceBazin André"
3166352968591,lasagnes  la bolognaise,Marie
7622400013928,lait pralin double lait,Côte d'Or
3478820023757,lentilles cuisines aux petits lgumes,"Jardin bio, Jardin bio logique"
8410131031453,crispy oignons original,Fresh Gourmet
20692230,skyr natural,"Lidl,Milbona,Pilos"
